kind,title,location,leaders,start,finish,lat,lon,description
"training","SO Vehicle Training","San Mateo County Center","TBA","2010-07-07","","","","This training is required to drive Sheriff Office vehicles. There is a lecture portion and a practical portion. Both portion are required to complete the training. This is the lecture portion. 7PM-10PM, Wednesday July 7, 2010.The training will be held at San Mateo Country Center in Redwood City. Exact building and room TBD."
"meeting","General","Redwood City"," 7pm Open House","2009-04-20","","","",""
"other","BAMRU Open House","Redwood City","Little","2009-03-16","","","","This is a chance for anyone who might be interested in joining BAMRU to get a feel for what we do, and to meet some of the members of the team.  There will be a brief presentation about the team, but most of the time will be devoted to Q&A.  People are welcome to stay for the general meeting following this session."
"other","BAMRU Open House","Redwood City","Little","2009-04-20","","","","This is a chance for anyone who might be interested in joining BAMRU to get a feel for what we do, and to meet some of the members of the team.  There will be a brief presentation about the team, but most of the time will be devoted to Q&A.  People are welcome to stay for the general meeting following this session."
"training","Crevasse Rescue Practice","Bear Valley Area","Marciniak","2009-02-01","","","","Crevasse rescue practice to refresh skills and get the trainers all on the same page of what/how we want to instruct the skills to the team in preparation of the MRA re-cert.  By invite only. Please contact Marciniak if interested."
"other","Ham Radio Study & Testing","Fremont","BAEARS.com","2009-04-18","","","","The Bay Area Educational Amateur Radio Society (BAEARS) hosts a one-day Amateur radio study session followed by FCC license testing once every three months.  Visit the <a href='http://baears.com'>BAEARS website</a> for additional details and to register.  <BR><BR>If the one-day study session date does not work for you and you are really anxious to get your ham radio license and wish to  <a href='http://www.arrl.org/arrlvec/pools.html'>self-study the exam question pool</a> and then find a <a href='http://www.arrl.org/arrlvec/examsearch.phtml'>testing location</a> near you, the <a href='http://www.arrl.org'>American Radio Relay League</a> website provides a host of useful information.   <BR><BR>Contact <a href='mailto:lars@ahntholz.com'>Lars Ahntholz</a>, BAMRU Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.<BR>"
"training","CHP Helicopter Ops, Tracking","Mt. Diablo","Yaffe","2009-03-28","","","","We will be training in insertion, extraction, patient packaging and winch operations with CHP H-30 helicopter out of Napa.  Tracking practice prior. Joint training with CoCoSAR.  Open to Members and Trainees. "
"training","SMSO Driving Training","RWC","ESD","2009-07-01","","","","Lecture: July 1st, 7-9pm. Practice: July 11th, time TBD. Open to trainees and members only."
"other","Election Nominations","TBA","Benner/Marciniak","2009-11-01","","","","BAMRU Officer elections are held in November. The Nominating Committee, which is usually the two continuing Board of Directors members, will provide a slate of at least one candidate for each office. Contact Benner and Marciniak if you are interested in serving as an officer or Director in 2010. "
"other","Mock Search w/ CoCo SAR","Mt Diablo","Marciniak","2009-05-09","","","","Mock search led by CoCo SAR."
"other","Bay Area Training for Search & Rescue (BATSAR)","Coyote Point Rec Area, San Mateo, CO","Little","2009-06-20","","","","Bay Area wide training for Search and Rescue. Start at 0800 hrs. Coyote Point Recreation Area, 1651 Coyote Point Drive, San Mateo, CA. http://www.basarc.org/batsar"
"other","Ham Radio Study & Testing","Fremont","BAEARS.com","2009-10-17","","","","The Bay Area Educational Amateur Radio Society (BAEARS) hosts a one-day Amateur radio study session followed by FCC license testing once every three months.  Visit the <a href='http://baears.com'>BAEARS website</a> for additional details and to register.  <BR><BR>If the one-day study session date does not work for you and you are really anxious to get your ham radio license and wish to  <a href='http://www.arrl.org/arrlvec/pools.html'>self-study the exam question pool</a> and then find a <a href='http://www.arrl.org/arrlvec/examsearch.phtml'>testing location</a> near you, the <a href='http://www.arrl.org'>American Radio Relay League</a> website provides a host of useful information.   <BR><BR>Contact <a href='mailto:lars@ahntholz.com'>Lars Ahntholz</a>, BAMRU Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.<BR>"
"training","Holiday Gathering","SF","Jensen","2009-12-06","","","","End-of-year celebration and socializing. Spouses/Partners encouraged to attend. "
"training","Tracking","San Mateo Co","Cavalieri","2009-05-17","","","","Tracking exercise. Open to guests by permission from BAMRU leadership."
"training","Skills Night - Knots & White Board Analysis","East Palo Alto","Frantz","2009-05-20","","","","Skills night is a supplement to the regular training schedule. These nights are used to focus on specific skills required by the training packet, practice weak area of our knowledge, or test ideas outside of our busy weekend trainings.<br><br>The primary focus of the May Skills Night is knots. If there is extra time, we will address other topics in the Personal Climbing Skills and/or Technical Rope Rescue sections of the training handbook."
"other","CRMRA regions meeting","Ventura","Chang","2009-09-19","","","","MRA California Region meeting"
"other","Mock Search with Inyo SAR","Death Valley","Cliff Agocs","2009-10-30","2009-11-01","","","Mock search exercise hosted by Inyo SAR in Death Valley."
"meeting","General","Castro Valley - 2010","","2010-04-19","","","",""
"meeting","General","Castro Valley "," 7pm Open House","2011-02-07","","","",""
"training","Winter Skills 2011","Boreal","Daley","2011-01-22","2011-01-23","","","Winter skills training."
"other","Stanford Med School Guest Lecture","Stanford Med School","Tubbesing/Chang","2009-05-20","","","","Guest Lecture at Stanford Med School class on Wilderness and Travel Medicine"
"other","CalMRA Regions meting","Sierra Madre","Chang","2009-05-16","","","","Chang presenting BAMRU/SMCSO. Chang also Vice-Chair. Evaluation of recertification of San Bernardino Cave Rescue and San Bernardino West Valley SAR teams on Technical Rock. "
"other","Cal Region MRA meeting","San Benardino","Chang","2009-01-03","","","","California Region MRA meeting. Chang representing BAMRU."
"other","BASARC","Alameda SAR","Chang/Yaffee","2009-05-02","","","",""
"other","WS-100","Sierras","Benner/Marciniak","2009-06-27","2009-06-28","","","Benner and Marciniak providing medical support for WS-100 (100 mile trans-Sierra race). Will have the BAMRU truck."
"training","Basic Technical Rescue","Marin Headlands","Rahe, Hoagland, Frantz","2009-07-25","2009-07-26","","","Basic Technical Rescue systems"
"training","Skills Night - Technical Rescue ","East Palo Alto","Frantz","2009-07-15","","","","Skills night is a supplement to the regular training schedule. These nights are used to focus on specific skills required by the training packet, practice weak area of our knowledge, or test ideas outside of our busy weekend trainings.<br><br>The primary focus of the July Skills Night is the Radium Load Releasing Hitch. This is one of the most complex components of a system and is easy to teach separate from the rest of the system. If there is extra time, we will address other topics in the Technical Rope Rescue sections of the training handbook."
"meeting","General","Castro Valley"," 7pm Open House","2011-04-11","","","",""
"meeting","General","Redwood City","","2010-05-17","","","",""
"meeting","General","Castro Valley","","2010-06-14","","","",""
"meeting","General","Redwood City","","2010-07-19","","","",""
"meeting","General","Castro Valley","","2010-08-16","","","",""
"meeting","General","Redwood City","","2010-09-20","","","",""
"meeting","General","Castro Valley","","2010-10-18","","","",""
"meeting","General","Redwood City","","2010-11-15","","","",""
"training","Trainee Skills Day, Snow and Ice","Truckee","Matt Jacobs","2010-03-27","","","","Trainee skills day, open to BAMRU members only.Since we didn't do a February snow and ice training, we're going to try to do a one day snow and ice skills day. The primary goal is to get ice axe arrest checkoffs and beacon skills. Everything will take place close to a road/parking. At this point no snow camping or significant snow travel is planned."
"training","Winter Skills","Tahoe","Jacobs","2011-02-26","2011-02-27","","","Winter team skills training."
"other","Dream Machine","San Mateo County","TBA","2011-05-01","","","","BAMRU often works with the County of San Mateo to provide support services at public events:www.miramarevents.com/dreammachines"
"meeting","General","Redwood City","","2011-05-16","","","",""
"training","Tracking and Navigation","TBA","Gilmore","2011-05-21","2011-05-22","","","Tracking and Navigation typically cover two days: one day of Tracking and one day of Navigation/Skills sign offs. "
"training","MRA Recert Training 2010","Skyline","Lass","2010-02-27","2010-02-28","","","ELT Training for MRA Recert."
"training","SAR Basic Training","Huddart Park","Rankin","2011-04-16","2011-04-17","","","Intensive weekend training to orient prospective members on the basic skills required to contribute effectively to search and rescue operations.  Intended for people with no prior SAR experience."
"other","MRA Recert","Malibu Creek State Park, CA","Little, Lass","2010-03-06","","","","Cal MRA Recert hosted by Malibu SAR."
"meeting","General","Redwood City"," 7pm Open House","2011-01-10","","","",""
"other","California Region MRA","Redwood City","TBA","2011-01-15","","","","CALMRA�s regional meeting is hosted by BAMRU of the San Mateo County Sheriff's Office. The meeting will be held Saturday, January 15th from 09:00 to 12:00 at 500 Allerton, Redwood City, 94063. "
"other","MRA Recert","Alabama Hills, Lone Pine","Jensen","2011-03-05","","","","Cal MRA Recertification 2011: Technical Rock. Hosted by Ventura County in the Alabama Hills near Lone Pine.Details: www.crmra.org/recert_2011"
"meeting","General","Redwood City"," 7pm Open House","2011-03-21","","","",""
"training","SAR Intro and Mock Search","Memorial Park","Mandish","2011-03-26","","","","Introduction to Search and Rescue with BAMRU in San Mateo county."
"training","SAR Basic Training","San Mateo County","TBA","2010-04-24","2010-04-25","","","Intensive weekend training to orient prospective members on the basic skills required to contribute effectively to search and rescue operations. Intended for people with no prior SAR experience."
"training","General Skills and Unit Orientation","San Mateo County","Ethan Frantz","2010-05-22","2010-05-23","","","This training will be a mix of knots, navigation, radios, tracking and unit orientation. The tentative schedule is: Saturday9am - 2pm, Navigation Exercise, 3pm - 6pm, Knots and Purcell Prusik, Sunday8am - Meet at Allerton, carpool to the park9am-2pm - Tracking at Huddart Park3pm-5pm - Team Familiarization in and around Allerton/County Center"
"training","Rock Skills","Donner Summit","Matt Jacobs","2010-06-19","2010-06-20","","","NOTE LOCATION CHANGE.Two day course in general rock skills applied to SAR applications. Topics include Anchors (trad gear and natural protection), belaying, Rappelling, Basic self-rescue, jugging, and using your emergency evac equipment. Focus will be on both theory and practice. "
"training","Alpine Skills","Mt Conness","Eszter Tompos, Sarah Jensen","2010-07-23","2010-07-25","","","The training will focus on lightweight techniques for covering distances quickly in an Alpine environment and on developing/increasing comfort in mountain settings. The training will include a peak attempt over Class III terrain at altitude (13-14k). Basic snow travel / safety (i.e. ice axe arrest, crampon technique) will be practiced if conditions permit. This training will not teach ice axe and crampon technique. Open to members and select trainees with leader approval."
"training","Basic Technical Rescue","RWC & Fort Funston","Frantz","2010-08-21","2010-08-22","","","Basic Technical Rescue training. The training will take place Saturday and Sunday (8/21-22) all day. Saturday will be at the parking garage in Redwood City (near Allerton). Sunday will most likely be at Fort Funston in San Francisco. Training will run from 8 or 9am until 7 or 8pm. There are no plans for camping or night operations. "
"training","Advanced Technical Rescue","Yosemite","Marciniak","2010-09-24","2010-09-26","","","Advanced technical rescue training on designing, building and operating a variety of rescue systems. Attendance at prior Basic Technical Rescue Training is required."
"training","Medical Skills & Scenarios","Redwood City","Lass","2010-10-23","","","","We will take our skills and knowledge and put it to use. We will have various search and rescue scenarios in the field, ranging from locating patients, assessing them, treating any injuries and organizing an appropriate type of evacuation with various search and rescue equipment.We will practice immobilizing fractures and injuries with different types of devices, packaging patients with various injuries, and work with medical equipment. We will discuss mass casualty triage and possibly how to be a first responder upon the scene of a motor vehicle accident and general traffic management tips.Participation is open to BAMRU members, trainees & possibly guests with prior permission from leader."
"training","Trainee Skills Day","TBA","TBA","2010-11-20","2010-11-21","","","Trainee packet sign off. An important opportunity for Trainee Members to make progress on their skills."
"other","ESB All Unit Meeting","Jury Assembly Room, RWC","Joe Sheridan","2010-01-27","","","","Meeting for all units / all members within ESB.  Starts at 1900. The Jury assembly room is at 400 County Center, Redwood City, on the basement level."
"other","CRMRA certification test CoCoSAR Rock","Mt. Diablo","Chang","2009-11-14","","","","John C., Martin, & Lucas proctoring Rock test"
"other","ITRS","Pueblo, Co","Chang","2009-11-05","2009-11-08","","","International Technical Rescue Symposium. http://www.itrsonline.org/"
"other","BASARC Section Chief Training","Marin EOC","Hoagland","2010-02-20","2010-02-21","","","BASARC Section Chief Training, limited availability, by UL appointment only. Part 2 of 2."
"other","BASARC Section Chief Training","Marin EOC","Hoagland","2010-02-13","2010-02-14","","","BASARC Section Chief Training. Limited availability, by UL appointment only. Part 1 of 2."
"other","Ham Radio Study & Testing","Morgan Hill","BAEARS.com","2010-04-03","","","","The Bay Area Educational Amateur Radio Society (BAEARS) hosts a one-day Amateur radio study session followed by FCC license testing once every three months.  Visit the <a href='http://baears.com'>BAEARS website</a> for additional details and to register.  <BR><BR>If the one-day study session date does not work for you and you are really anxious to get your ham radio license and wish to  <a href='http://www.arrl.org/arrlvec/pools.html'>self-study the exam question pool</a> and then find a <a href='http://www.arrl.org/arrlvec/examsearch.phtml'>testing location</a> near you, the <a href='http://www.arrl.org'>American Radio Relay League</a> website provides a host of useful information.   <BR><BR>Contact <a href='mailto:lars@ahntholz.com'>Lars Ahntholz</a>, BAMRU Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.<BR>"
"training","AIARE Avalanche Level I Seminar ","Bear Valley","Schott","2011-01-29","2011-01-31","","","AIARE Avalanche Level I Seminar:3 day, level 1 avalanche class (AIARE) hosted by Mountain Adventure Seminars in Bear valley. This is a private class for BAMRU.Focus is on backcountry safety & hazard recognition. All participants gain a thorough understanding of hazard evaluation, trip planning, travel techniques and rescue skills.Topics Covered:    * Types and characteristics of avalanches    * Avalanche hazards - �Red Flags�    * An introduction to snowpack layering & metamorphosis    * Bonding tests: compression test & rutschblock    * Field observations techniques    * Trip Planning and preparation    * Route finding and travel techniques    * Decision making and human factors    * Companion rescue and equipmentNote: Avy-1 is a requirement to become an Technical member."
"other","WS-100 Medical support","Auburn, CA","Marciniak","2010-06-26","2010-06-27","","","BAMRU providing medics for WS-100 ultra Marathon. Stationed at ALT (mile 85)."
"other","SAREX","Treasue Island","BASARC","2010-09-10","2010-09-11","","","http://www.basarc.org/home/p18_action/displayeventdetails/p18_eventid/13"
"other","Professional Tracking Services Class","Sonoma County","Professional Tracking Services","2010-04-16","2010-04-18","","","Professional Tracking Services will be having a class in Sonoma County on April 16-17-18 . It is a POST--Track Aware and POST--Search and Rescue Tracker Certificate. We will be tent camping for two nights . The cost is $150.00 . Please contact me at : gdresnek at sonoma-county dot org. If you plan on attending I will need a check or pay pal receipt no later than April 1st. Members: if you want to go to this, please contact the training officer ASAP."
"other","Tracking Training","Lake Sonoma","Somoma County SAR","2010-03-13","2010-03-14","","","Sonoma County SAR will be hosting a free training at Lake Sonoma on March 13 and March 14 . It will be the pilot for a future NASAR class on tracking. We will be camping at Lake Sonoma. Please RSVP to me at : gdresnek at sonoma-county dot orgMembers: If you would like to go, please contact the training officer ASAP."
"other","Basic Tracking Class","Hayfork","Professional Trackers","2010-04-03","2010-04-05","","","BASIC TRACKING CLASSFernando Moreira will be holding a Track Aware and SAR Tracking Class for on April 3. The class will start at 0500 hrs on the 3 of April and will go through April 5 at 1300 hr. The cost is shown on Fernando Website: http://blog.professionaltrackers.com/events/We have 5 members of the State Department that will be attending. We have room for 7 more Trackers.This class will be held in Trinity County Hayfork, CA for directions contact wolfhaven530 at earthlink dot netMembers: If you want to attend, contact the training officer ASAP."
"other","Fernando Moreira's Trackers Camp","Reno, NV","TBA","2010-06-09","2010-06-12","","","http://blog.professionaltrackers.com/events/4-day tracking camp for the SAR community"
"other","International Tech Rescue Symposium","Golden, CO","n/a","2010-11-04","2010-11-07","","","http://www.itrsonline.org/. "
"training","SO Vehicle Training","County Center Jury Parking Lot","TBA","2010-07-10","","","","This training is required to drive Sheriff Office vehicles. There is a lecture portion and a practical portion. Both portion are required to complete the training. This is the practical portion. 8:30am - 2:30pm, Saturday, July 10, 2010.The training will be held at San Mateo Country Center Jury Parking Lot in Redwood City. (This is right out side the parking garage where the BAMRU truck is stored)."
"other","Orientation to Cave Rescue","San Andreas and California Caverns","Ethan Frantz","2010-07-24","2010-07-25","","","The National Cave Rescue Commission's (NCRC) Orientation to Cave Rescue (OCR) is an intensive two-day introduction to the science and management of cave rescue operations. Led by a team of highly qualified instructors, the techniques and skills you will learn from this seminarmay be directly applied to cave rescue scenarios across the western  states. Day 1 will include class sessions and surface exercises designed to teach a wide range of concepts and skills unique to cave rescue. Day 2 will deliver an underground mock rescue and debriefing custom-designed by the instructors to test and challenge your new skills. For more information: http://www.caves.org/ncrc/ncrc-wr/OCR2010_Registration.pdf Questions: Contact Ethan Frantz"
"other","SMCSAR Preplan Exercise ","Butano State Park","Ethan Frantz","2010-06-26","","","","The pre-planning exercises are designed to help us gather data on a park or open space in regards to terrain, vegetation, hazards, high-probability areas, command post logistics, and communications challenges.  As with our previous efforts at Sam McDonald Park and Russian Ridge OSP, this exercise will focus on using the same protocols that we would use on an actual search:  teams will be formed, given assignments, briefed and dispatched.  When those teams return, they will be debriefed for information about their assigned area, and GPS tracks and waypoints will be downloaded. In addition to the benefits we receive from our exposure to the parks, we also meet with the rangers that work these areas and develop relationships that will pay dividends when we respond to search emergencies.  While I was meeting with the Supervising Ranger for Butano, a 10 year old girl suffered a fall in the park and suffered a broken arm � radius and ulna fractures, with severe angulation.  She was only about a quarter of a mile from the campground, and the call was handled by CalFire and AMR with the Ranger and myself assisting.  But it was clear that if she had been much further away from the campground, it was exactly the kind of carryout that we would be engaged in.  "
"other","Ham Radio Study & Testing","Redwood City","BAEARS.com","2010-09-25","","","","The Bay Area Educational Amateur Radio Society (BAEARS) hosts a one-day Amateur radio study session followed by FCC license testing once every three months.  Visit the <a href='http://baears.com'>BAEARS website</a> for additional details and to register.  <BR><BR>If the one-day study session date does not work for you and you are really anxious to get your ham radio license and wish to  <a href='http://www.arrl.org/arrlvec/pools.html'>self-study the exam question pool</a> and then find a <a href='http://www.arrl.org/arrlvec/examsearch.phtml'>testing location</a> near you, the <a href='http://www.arrl.org'>American Radio Relay League</a> website provides a host of useful information.   <BR><BR>Contact <a href='mailto:lars@ahntholz.com'>Lars Ahntholz</a>, BAMRU Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.<BR>"
"training","In Cave Litter Handling","Santa Cruz","Ethan Frantz","2010-10-24","","","","This is a chance to significantly increase our litter handling skills. The cave rescue organizations have been forced to develop advance litter handling techniques do to the complex cave environment. This is a chance to learn these techniques from a National Cave Rescue Commission (NCRC) Instructor in a cave. This should be a fun training that is a break from our normal training cycle. Please note that this is not a NCRC class."
"training","Escape from Alcatraz","Alcatraz","Ethan Frantz","2010-11-06","","","","This is great chance to cross train with rangers from the Golden Gate National Recreation Area. We will be practicing personal rope and technical rescue skills.We will be working on Alcatraz retracing the steps of the famous escape attempts. "
"other","Holiday Party","Abi's","Abi Rankin","2010-12-18","","","","BAMRU's annual holiday party. "
"meeting","General","Castro Valley","(Not 3rd Monday)","2011-06-13","","","",""
"training","Personal Rock Skills","TBA","Gleason","2011-06-18","2011-06-19","","","Two day course covers general rock skills skill stations, scenarios, and discussion of their application within the SAR community.  Topics include anchors (trad gear and natural protection), belaying, rappelling, basic self-rescue, jugging/ascending, and personal emergency evac equipment with scenarios.  Focus will be on both theory and practice.  Personal rock skills is a prerequisite for Alpine Training and Technical Training."
"training","CPR Class","Redwood City","Sam Mateo County","2011-08-06","","","","455 County Center Room 100 Redwood City CA 94063"
"training","SO Vehicle Training","Redwood City","SMC","2011-07-06","","","","Wednesday evening is required for training Saturday, July 16th.Wednesday, July 6, 2011, 7pm � 10pm500 Allerton Redwood City CA 94063Saturday, July 16, 2011, 9am � 2pm400 County Center Redwood City CA 94063"
"training","SO Vehicle Training","Redwood City","SMC","2011-07-16","","","","Wednesday evening is required for training Saturday, July 16th.Wednesday, July 6, 2011, 7pm � 10pm500 Allerton Redwood City CA 94063Saturday, July 16, 2011, 9am � 2pm400 County Center Redwood City CA 94063"
"meeting","General","Redwood City","","2011-07-18","","","",""
"training","Alpine Training","TBA","TBA","2011-07-23","2011-07-24","","","Alpine Trianing focuses on lightweight techniques for covering distances quickly in an alpine environment and on developing/increasing comfort in alpine settings.  Training topics include: multi-pitch alpine climbing and basic snow travel / safety (i.e.  ice axe arrest, crampon technique) will be practiced if conditions permit.  This training will not teach ice axe and crampon technique.  Open to members and select trainees with leader approval."
"meeting","General","Castro Valley","","2011-08-15","","","",""
"training","Basic Technical Rescue","TBA","Frantz","2011-08-20","2011-08-21","","","Basic Technical Rescue is two full days (likely three).Participant must have completed Basic Rock Skills. "
"other","SAREX - 2011","TBA","TBA","2011-09-09","2011-09-11","","","SAREX is an annual northern California Search and Rescue Exercise sponsored by the California Emergency Management Agency (Cal-EMA), in cooperation with a host agency, or group of agencies. SAREX rotates annually throughout northern California county venues. 2011 venue TBD."
"training","Advanced Technical Rescue","TBA","TBA","2011-09-24","2011-09-25","","","Advanced Technical Rescue builds on the skills learned in Basic Technical Rescue including basic design, construction and operation of a variety of advanced rescue systems.  Basic Technical Rescue Training is required."
"meeting","General","Redwood City","","2011-09-19","","","",""
"meeting","General","Castro Valley","","2011-10-17","","","",""
"training","Medical Training","TBA","Lass","2011-10-22","","","","Medical Skills Training is all about putting our skills and knowledge to use. This is an opportunity to run through various scenarios and familiarize our selves with BAMRU's equipment.From Medical Skill Training 2010:'We will take our skills and knowledge and put it to use.  We will have various search and rescue scenarios in the field, ranging from locating patients, assessing them, treating any injuries and organizing an appropriate type of evacuation with various search and rescue equipment. We will practice immobilizing fractures and injuries with different types of devices, packaging patients with various injuries, and work with medical equipment.  We will discuss mass casualty triage and possibly how to be a first responder upon the scene of a motor vehicle accident and general traffic management tips.'Participation is open to BAMRU members, trainees & possibly guests with prior permission from leader."
"training","Training TBD","Bay Area","TBA","2011-10-23","","","","Training and skills sign offs. TBD."
"meeting","General","Redwood City","  (Not 3rd Monday)","2011-11-14","","","",""
"training","Trainee Skills Day","TBA","TBA","2011-11-19","2011-11-20","","","Skills day and Trainee packet sign offs.  An important opportunity for Field and Technical team members to assist Trainees in packet sign offs.Trainees will have an opportunity to demonstrate skills through scenarios, skill stations and miscellaneous needed skill sign offs. as they work toward completing their training packets. "
"other","Holiday Party","TBA","TBA","2011-12-17","","","","BAMRU Annual Holiday Party. "
"other","Tour de Peninsula ","San Mateo County","TBA","2011-08-07","","","","BAMRU often works with the County of San Mateo to provide support services at public events:www.supportparks.org/tdp"
"other","North Fair Oaks Festival","San Mateo County","TBA","2011-08-21","","","","BAMRU often works with the County of San Mateo to provide support services at public events:www.northfairoaksfestival.org "
"other","Pumpkin Festival","Half Moon Bay","TBA","2011-10-15","2011-10-16","","","BAMRU often works with the County of San Mateo to provide support services at public events:www.miramarevents.com/pumpkinfest/about_show.html"
"other","WS-100 Medical support","Auburn, CA","Marciniak","2011-06-25","2011-06-26","","","Select group will be operating a WS-100 (Trans-Sierra Ultra Marathon) medical station. "
"training","Swift Water Rescue","Knights Ferry","Mandish","2011-04-09","2011-04-10","","","The Swiftwater Rescue Technician (SRT-1) Course is being held with Sierra Rescue on the Stanislaus River in Knights Ferry, California, Saturday April 9th, 2011 ~ Sunday, April 10th, 2011.  The SRT curriculum is specifically designed for fire fighters, rescue teams and professional rescuers.  The course is NFPA compliant and meets the required elements for personnel reaching toward Technician Level Certification.  The SRT Unit 1 is the first step toward “Technician Level” proficiency that can be attained once the SRT-1, TRR-TL and SRT-A have been completed.  The course is very active in the water and is suitable for rescuers with no water rescue experience.  The course also offers experienced rescuers the opportunity to develop their skills and push their personal limits on and off the water with realistic rescue scenarios, self-rescue challenges, and lots of hands-on interactive rescues and experiences"
"training","Tracking Class","Lake Sonoma","Fernando Moreia, Professional Tracking Services","2011-04-22","2011-04-24","","","Posted by: 'George Dresnek' gdresnek@sonoma-county.org Mon Jan 31, 2011 10:05 am (PST) We will be hosting both a Beginner Tracker and Advanced Tracker class at Lake Sonoma on April 22-23-24 , 2011 .  The lead instructor will be Fernando Moreia of Professional Tracking Services .  Cost is $150.  for either class .  We will be tent camping at the lake , bring your own food.  Reservations and payments (paypal accepted) must be in by April 8 .  The beginner class will start at 1700 in the visitor center at the base of the dam and the advanced class will start at 0800 in the field. "
"training","MAS Mountaineering Training","Bear Valley","Schott","2011-04-23","2011-04-24","","","Mountain Adventure Seminars (MAS), the same vendor that offers us an excellent Avy-1 course, is extending the BAMRU discount to its mountaineering courses.  We can get 15% off. On April 23-24, they offer a two day mountaineering seminar at Bear Valley that combines two workshop in one weekend: 'Crampon & Ice Axe Workshop' and 'Rope Team / Snow Anchor Workshop'.  Detailed descriptions below.  The discounted cost is $208.  MAS website: http://www.mtadventure.com/pages/mountaineering.html#seminar Use coupon code 'BAMRU2' to get the discounted price."
"training","Snow and Ice Travel","Desolation Wilderness","Leak","2011-05-07","2011-05-08","","","A small group (5-7) of people will engage in a one or two-night trip over mountainous terrain covered in snow and ice.  We expect the team to travel a point to point route in the eastern sierras, 10 to 20 miles in length, while carrying a full winter pack and basic communications and first-aid gear. The level of commitment and risk for this trip will be higher than most trainings.  Six-eight weeks prior to the trip, we will meet in person to discuss safety factors, contingencies, team dynamics and communication, etc.  We will put extra emphasis on individual and team preparation, in order to efficiently travel in the mountains with wide margins of safety. Contact Andy Leak or Chris Kantarjiev for more details and team selection criteria. "
"training","Tracking Classroom Session","TBA","Cavaleiri","2011-05-20","","","","This evening session will cover the theory portion of the navigation training, which will continue in the field on 5/21."
"training","BASARC Joint Traininng","TBA","TBA","2011-06-11","","","","Joint training with BASARC and CoCoSAR.  Simulated mock search.  Location TBD."
"other","Test Event","Mammoth Lakes","Johnson","2011-07-20","","","","This is a test."
"operation","Shasta Search","Mt. Shasta","Yaffe","2011-02-20","","41.325408","-122.193457","[http://bamru.blogspot.com/2011/02/shasta-search.html]"
"operation","Portola 10-22","Portola State Park","Frantz","2011-03-31","","37.238846","-122.201422","[http://bamru.blogspot.com/2011/03/portola-10-22.html]"
"operation","Snowboarder Located","Sierra at Tahoe","Jensen","2011-03-28","","38.809729","-120.081139","[http://bamru.blogspot.com/2011/03/missing-snowboarder-located.html]"
"operation","Three Hikers Found","Lake County","Chang","2011-03-27","","39.421908","-122.952218","[http://bamru.blogspot.com/2011/03/three-hikers-found.html]"
"operation","Storm Watch","San Mateo County","Frantz","2011-03-25","","37.251888","-122.382599","[http://bamru.blogspot.com/2011/03/storm-watch.html]"
"operation","Tsunami Response","San Mateo Coast","Frantz","2011-03-14","","37.463552","-122.428586","[http://bamru.blogspot.com/2011/03/tsunami-response.html]"
"operation","Missing Sonoma Man","Mendocino","Kantarjiev","2011-03-07","","39.307674","-123.799459","[http://bamru.blogspot.com/2011/03/missing-sonoma-man.html]"
"operation","Sierra Crest Search","Alpine Meadows","Marciniak","2010-12-30","","39.178518","-120.227695","[http://bamru.blogspot.com/2011/01/sierra-crest-search.html]"
"operation","Cold Night in Loma Mar","Loma Mar","Herman","2010-12-09","","37.271054","-122.308582","[http://bamru.blogspot.com/2010/12/cold-night-in-loma-mar.html]"
"operation","San Carlos Search","San Carlos Hills","Marcinak","2011-04-14","","37.482803","-122.283647","[http://bamru.blogspot.com/2011/04/san-carlos-search.html]"
"operation","Devil's Canyon Search","Santa Cruz Mountains","Little","2011-04-11","","37.276761","-122.198678","[http://bamru.blogspot.com/2011/04/devils-canyon-search.html]"
"operation","Sonoma Mutual Aid","Annadel State Park","Frantz","2011-03-29","","38.425053","-122.622093","[http://bamru.blogspot.com/2011/03/sonoma-mutual-aid.html]"
"operation","Marin County Search","Ross, CA","Dimmler","2011-01-29","","37.962424","-122.554978","[http://bamru.blogspot.com/2011/01/marin-county-search.html]"
"operation","Golden Gate Park Search","San Francisco","Lass","2011-02-28","","37.76904","-122.483519","[http://bamru.blogspot.com/2011/02/golden-gate-park-search.html]"
"operation","Midnight Mountain Search","Santa Cruz Mountains","Frantz","2010-11-28","","37.202039","-122.327758","[http://bamru.blogspot.com/2010/11/midnight-mountain-search.html]"
"operation","Butte County Search","Butte County","Kantarjiev","2010-10-25","","39.96655","-121.26509","[http://bamru.blogspot.com/2010/10/butte-county-search.html]"
"operation","BAMRU at the San Bruno Fire","San Bruno","Chang","2010-09-12","","37.648472","-122.447896","[http://bamru.blogspot.com/2010/09/bamru-at-san-bruno-fire.html]"
"operation","A Search Comes to and End","Whorl Mountain","TBA","2010-09-05","","38.07381","-119.383495","[http://bamru.blogspot.com/2010/09/search-comes-to-end.html]"
"operation","Missing Woman Found Alive","Hillsborough","TBA","2010-08-30","","37.572105","-122.392719","[http://bamru.blogspot.com/2010/08/missing-woman-found-alive.html]"
